                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5439,                  2.338,                 1.2613,                0.51127,                 0.3333,                0.40991,                 0.2229,                  1.923,                 2.9259,                 1.2949,              0.0033318,              0.0033318,              0.0033318
                      2,                  1.444,                 1.3729,                 1.2189,                0.53634,                0.38885,                0.45697,                0.25233,                 1.8638,                 2.0272,                 1.2867,              0.0063352,              0.0063352,              0.0063352
                      3,                 1.4791,                  1.316,                 1.2613,                0.53012,                0.46706,                0.48944,                0.26143,                 1.8369,                 3.2537,                  1.326,              0.0090086,              0.0090086,              0.0090086
                      4,                 1.4498,                   1.24,                 1.2602,                0.58103,                0.51564,                0.54705,                0.31579,                 1.7316,                 1.5792,                 1.2576,               0.008515,               0.008515,               0.008515
                      5,                 1.3829,                 1.1205,                 1.2274,                0.62498,                0.55953,                0.59592,                0.35416,                 1.6668,                 1.4703,                 1.2255,                0.00802,                0.00802,                0.00802
                      6,                 1.3443,                 1.0571,                 1.2096,                 0.6817,                0.58758,                 0.6363,                0.38469,                 1.6296,                 1.3782,                 1.1944,               0.007525,               0.007525,               0.007525
                      7,                 1.3126,                 1.0084,                 1.1913,                0.71374,                0.61684,                0.66584,                0.40503,                 1.5817,                 1.2631,                  1.176,                0.00703,                0.00703,                0.00703
                      8,                  1.289,                 0.9685,                 1.1802,                0.73249,                 0.6336,                0.68295,                0.41591,                 1.5577,                 1.2255,                 1.1648,               0.006535,               0.006535,               0.006535
                      9,                 1.2588,                0.93695,                 1.1685,                0.73585,                0.64214,                0.69013,                0.42261,                 1.5478,                 1.2023,                 1.1584,                0.00604,                0.00604,                0.00604
                     10,                 1.2309,                0.90648,                 1.1559,                 0.7401,                0.64977,                0.69715,                0.42861,                 1.5358,                  1.184,                 1.1534,               0.005545,               0.005545,               0.005545
                     11,                 1.1908,                0.75342,                 1.1263,                0.75081,                0.65316,                0.70427,                0.43402,                 1.5284,                 1.1674,                 1.1479,                0.00505,                0.00505,                0.00505
                     12,                 1.1637,                0.72485,                 1.1159,                0.75799,                0.65876,                0.71167,                   0.44,                 1.5189,                 1.1472,                 1.1424,               0.004555,               0.004555,               0.004555
                     13,                 1.1389,                0.69526,                 1.1005,                0.76488,                0.66272,                0.71826,                0.44506,                 1.5088,                 1.1226,                 1.1356,                0.00406,                0.00406,                0.00406
                     14,                 1.1183,                0.67067,                 1.0935,                  0.775,                0.66811,                0.72704,                0.45178,                 1.4983,                 1.1013,                 1.1295,               0.003565,               0.003565,               0.003565
                     15,                 1.0953,                0.64615,                   1.08,                 0.7819,                0.67289,                0.73398,                0.45728,                  1.485,                  1.081,                 1.1226,                0.00307,                0.00307,                0.00307
                     16,                 1.0743,                0.62246,                 1.0713,                0.78826,                0.67781,                0.74104,                0.46332,                 1.4753,                 1.0572,                 1.1172,               0.002575,               0.002575,               0.002575
                     17,                  1.051,                0.59889,                   1.06,                0.79373,                0.68009,                0.74559,                0.46865,                 1.4629,                 1.0366,                 1.1107,                0.00208,                0.00208,                0.00208
                     18,                  1.029,                0.57548,                 1.0472,                0.80199,                0.68291,                 0.7522,                0.47486,                 1.4511,                 1.0171,                 1.1045,               0.001585,               0.001585,               0.001585
                     19,                 1.0067,                0.55122,                 1.0362,                0.80599,                0.68483,                0.75543,                0.48043,                 1.4393,                0.99914,                 1.0983,                0.00109,                0.00109,                0.00109
                     20,                0.98124,                0.52832,                 1.0242,                0.81153,                0.68778,                0.75993,                0.48613,                 1.4285,                0.98319,                 1.0927,               0.000595,               0.000595,               0.000595
